pair,range_expansion,extreme_upper,extreme_lower,consecutive_bars,bars,exhaustions,signals,n_long,n_short,signal_rate,win_rate,mean_return,sharpe,ic,ic_pval,reduction_ratio,score
USDJPY,1.5,0.8,0.15,3,2049,43,24,12,12,1.171303074670571,66.66666666666666,0.0005421771746762458,37.173498064385505,0.38523472987446145,0.06302728226497593,0.5581395348837209,61.706797754404946
USDJPY,1.5,0.85,0.15,3,2049,42,23,12,11,1.1224987798926307,65.21739130434783,0.0005539680529982955,37.19531428386194,0.38052631378407153,0.07325279826544638,0.5476190476190477,60.99777760766895
NZDJPY,1.5,0.85,0.2,2,2048,84,52,29,23,2.5390625,65.38461538461539,0.0004324634319921754,28.261058714572314,0.39343639034607336,0.003907831064593257,0.6190476190476191,60.27523123568559
USDJPY,2.0,0.7,0.15,2,2049,43,22,10,12,1.0736944851146901,63.63636363636363,0.0003991817678134956,29.543002008503862,0.38849926257154405,0.07396932145192044,0.5116279069767442,59.84908463551922
NZDJPY,2.0,0.65,0.35,2,2048,47,28,14,14,1.3671875,60.71428571428571,0.0005613408573559733,37.513957218852106,0.3890759466566801,0.040720844081482806,0.5957446808510638,59.4359509072999
NZDJPY,2.0,0.65,0.3,2,2048,46,28,14,14,1.3671875,60.71428571428571,0.0005613408573559733,37.513957218852106,0.3890759466566801,0.040720844081482806,0.6086956521739131,59.4359509072999
NZDJPY,2.0,0.65,0.25,2,2048,46,28,14,14,1.3671875,60.71428571428571,0.0005613408573559733,37.513957218852106,0.3890759466566801,0.040720844081482806,0.6086956521739131,59.4359509072999
NZDJPY,2.0,0.7,0.35,2,2048,46,28,14,14,1.3671875,60.71428571428571,0.0005613408573559733,37.513957218852106,0.3890759466566801,0.040720844081482806,0.6086956521739131,59.4359509072999
NZDJPY,2.0,0.7,0.3,2,2048,45,28,14,14,1.3671875,60.71428571428571,0.0005613408573559733,37.513957218852106,0.3890759466566801,0.040720844081482806,0.6222222222222222,59.4359509072999
NZDJPY,2.0,0.7,0.25,2,2048,45,28,14,14,1.3671875,60.71428571428571,0.0005613408573559733,37.513957218852106,0.3890759466566801,0.040720844081482806,0.6222222222222222,59.4359509072999
NZDJPY,1.5,0.8,0.2,2,2048,97,62,29,33,3.02734375,64.51612903225806,0.0004482905641812608,29.500252601687446,0.3693964983206793,0.0031296130218696934,0.6391752577319587,59.23290307269235
NZDJPY,2.0,0.75,0.35,2,2048,40,26,14,12,1.26953125,61.53846153846154,0.0005725578128219627,37.264629206224264,0.3703280399090205,0.06256376123349323,0.65,59.19778248327765
NZDJPY,2.0,0.75,0.3,2,2048,39,26,14,12,1.26953125,61.53846153846154,0.0005725578128219627,37.264629206224264,0.3703280399090205,0.06256376123349323,0.6666666666666666,59.19778248327765
NZDJPY,2.0,0.75,0.25,2,2048,39,26,14,12,1.26953125,61.53846153846154,0.0005725578128219627,37.264629206224264,0.3703280399090205,0.06256376123349323,0.6666666666666666,59.19778248327765
NZDJPY,1.5,0.85,0.25,2,2048,90,58,35,23,2.83203125,63.793103448275865,0.0003952122254059192,26.625053507762573,0.3842307495190204,0.002903872052439366,0.6444444444444445,59.14026296565722
NZDJPY,1.5,0.75,0.2,2,2048,102,66,29,37,3.22265625,65.15151515151516,0.00042800354163640076,28.4728106972068,0.35335014687615,0.003610869590668392,0.6470588235294118,58.86386028661124
NZDJPY,2.0,0.85,0.35,2,2048,34,21,14,7,1.025390625,61.904761904761905,0.000550470613676846,37.12901881502296,0.3503245248726853,0.11949424266314121,0.6176470588235294,58.77946426458762
NZDJPY,2.0,0.85,0.3,2,2048,33,21,14,7,1.025390625,61.904761904761905,0.000550470613676846,37.12901881502296,0.3503245248726853,0.11949424266314121,0.6363636363636364,58.77946426458762
NZDJPY,2.0,0.85,0.25,2,2048,33,21,14,7,1.025390625,61.904761904761905,0.000550470613676846,37.12901881502296,0.3503245248726853,0.11949424266314121,0.6363636363636364,58.77946426458762
NZDJPY,1.5,0.7,0.2,2,2048,112,72,29,43,3.515625,65.27777777777779,0.0004186058635752708,28.696562816143224,0.3454178332067319,0.002961362886045603,0.6428571428571429,58.6401773889274
